id,question,answer,category,state,tags,priority,difficulty,personas,source
855,Georgia Contractor License Requirements,"Georgia requires contractors to be licensed for work over $2,500. General contractor license requires 4 years experience or equivalent education. Application fee is $200, with total costs ranging $300-400. Two exams required: Business & Law (110 questions, 4 hours) and Trade exam (110 questions, 4 hours). Both require 70% passing score. $10,000 surety bond required for general contractors. This information is time-sensitive.",state_licensing_requirements,GA,"georgia,general_contractor,license_requirements,exam_info,fees,bond",normal,basic,"overwhelmed_veteran,confused_newcomer,urgent_operator",state_requirements_complete.json - GA section
856,What about georgia?,"Georgia requires contractors to be licensed for work over $2,500. General contractor license requires 4 years experience or equivalent education. Application fee is $200, with total costs ranging $300-400. Two exams required: Business & Law (110 questions, 4 hours) and Trade exam (110 questions, 4 hours). Both require 70% passing score. $10,000 surety bond required for general contractors. This information is time-sensitive.",state_licensing_requirements,GA,"georgia,general_contractor,license_requirements,exam_info,fees,bond",normal,basic,"overwhelmed_veteran,confused_newcomer,urgent_operator",state_requirements_complete.json - GA section
857,Tell me about georgia,"Georgia requires contractors to be licensed for work over $2,500. General contractor license requires 4 years experience or equivalent education. Application fee is $200, with total costs ranging $300-400. Two exams required: Business & Law (110 questions, 4 hours) and Trade exam (110 questions, 4 hours). Both require 70% passing score. $10,000 surety bond required for general contractors. This information is time-sensitive.",state_licensing_requirements,GA,"georgia,general_contractor,license_requirements,exam_info,fees,bond",normal,basic,"overwhelmed_veteran,confused_newcomer,urgent_operator",state_requirements_complete.json - GA section
858,How does georgia work?,"Georgia requires contractors to be licensed for work over $2,500. General contractor license requires 4 years experience or equivalent education. Application fee is $200, with total costs ranging $300-400. Two exams required: Business & Law (110 questions, 4 hours) and Trade exam (110 questions, 4 hours). Both require 70% passing score. $10,000 surety bond required for general contractors. This information is time-sensitive.",state_licensing_requirements,GA,"georgia,general_contractor,license_requirements,exam_info,fees,bond",normal,basic,"overwhelmed_veteran,confused_newcomer,urgent_operator",state_requirements_complete.json - GA section
859,georgia information,"Georgia requires contractors to be licensed for work over $2,500. General contractor license requires 4 years experience or equivalent education. Application fee is $200, with total costs ranging $300-400. Two exams required: Business & Law (110 questions, 4 hours) and Trade exam (110 questions, 4 hours). Both require 70% passing score. $10,000 surety bond required for general contractors. This information is time-sensitive.",state_licensing_requirements,GA,"georgia,general_contractor,license_requirements,exam_info,fees,bond",normal,basic,"overwhelmed_veteran,confused_newcomer,urgent_operator",state_requirements_complete.json - GA section
860,I need help with georgia,"Georgia requires contractors to be licensed for work over $2,500. General contractor license requires 4 years experience or equivalent education. Application fee is $200, with total costs ranging $300-400. Two exams required: Business & Law (110 questions, 4 hours) and Trade exam (110 questions, 4 hours). Both require 70% passing score. $10,000 surety bond required for general contractors. This information is time-sensitive.",state_licensing_requirements,GA,"georgia,general_contractor,license_requirements,exam_info,fees,bond",normal,basic,"overwhelmed_veteran,confused_newcomer,urgent_operator",state_requirements_complete.json - GA section
861,What about general_contractor?,"Georgia requires contractors to be licensed for work over $2,500. General contractor license requires 4 years experience or equivalent education. Application fee is $200, with total costs ranging $300-400. Two exams required: Business & Law (110 questions, 4 hours) and Trade exam (110 questions, 4 hours). Both require 70% passing score. $10,000 surety bond required for general contractors. This information is time-sensitive.",state_licensing_requirements,GA,"georgia,general_contractor,license_requirements,exam_info,fees,bond",normal,basic,"overwhelmed_veteran,confused_newcomer,urgent_operator",state_requirements_complete.json - GA section
862,Tell me about general_contractor,"Georgia requires contractors to be licensed for work over $2,500. General contractor license requires 4 years experience or equivalent education. Application fee is $200, with total costs ranging $300-400. Two exams required: Business & Law (110 questions, 4 hours) and Trade exam (110 questions, 4 hours). Both require 70% passing score. $10,000 surety bond required for general contractors. This information is time-sensitive.",state_licensing_requirements,GA,"georgia,general_contractor,license_requirements,exam_info,fees,bond",normal,basic,"overwhelmed_veteran,confused_newcomer,urgent_operator",state_requirements_complete.json - GA section
863,3-Month Payment Plan Details,"Standard 3-month payment plan: 50% down payment ($1,672.50), followed by 2 monthly payments of $836.25. Total cost remains $3,345 with 0% interest. Requirements: Valid business entity (LLC/Corp), minimum 600 credit score, proof of construction experience. Best for contractors with immediate project needs and strong cash flow. This information is time-sensitive.",financial_planning_roi,,"payment_plans,financing,3_month_plan,no_interest,requirements",high,basic,"urgent_operator,strategic_investor",financing_options_guide.json
864,What about payment_plans?,"Standard 3-month payment plan: 50% down payment ($1,672.50), followed by 2 monthly payments of $836.25. Total cost remains $3,345 with 0% interest. Requirements: Valid business entity (LLC/Corp), minimum 600 credit score, proof of construction experience. Best for contractors with immediate project needs and strong cash flow. This information is time-sensitive.",financial_planning_roi,,"payment_plans,financing,3_month_plan,no_interest,requirements",high,basic,"urgent_operator,strategic_investor",financing_options_guide.json
